family	genus	species	CAAB
Scaridae/Parrotfishes	Sparisoma	aurofrenatum/Redband parrotfish	Fishbase:
Scaridae/Parrotfishes	Sparisoma	chrysopterum/Redtail parrotfish	Fishbase:
Scaridae/Parrotfishes	Sparisoma	rubripinne/Yellowtail parrotfish	Fishbase:
Scaridae/Parrotfishes	Sparisoma	viride/Stoplight parrotfish	Fishbase:
Sparidae/Porgy	Calamus	bajonado/Jolthead porgy	Fishbase:
Sparidae/Porgy	Calamus	calamus/Saucereye porgy	Fishbase:
Diodontidae/Pufferfishes	Diodon	hystrix/Porcupinefish	Fishbase:
Tetraodontidae/Pufferfishes	Canthigaster	rostrata/Sharpnose puffer	Fishbase:
Echeneidae/Remoras	Echeneis	neucratoides/Whitfin sharksucker	Fishbase:
Scorpaenidae/Scorpionfishes	Pterois	volitans/Lionfish	Fishbase:
Ginglymostomatidae/Sharks	Ginglymostoma	cirratum/Nurse shark	Fishbase:
Lutjanidae/Snappers	Apsilus	dentatus/Black snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	analis/Mutton snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	apodus/Schoolmaster snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	buccanella/Blackfin snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	griseus/Gray snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	jocu/Dog snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	mahogoni/Mahogany snapper	Fishbase:
Lutjanidae/Snappers	Lutjanus	synagris/Lane snapper	Fishbase:
Lutjanidae/Snappers	Ocyurus	chrysurus/Yellowtail snapper	Fishbase:
Holocentridae/Squirrelfishes	Holocentrus	adscensionis/Squirrelfish	Fishbase:
Holocentridae/Squirrelfishes	Holocentrus	rufus/Longspine squirrelfish	Fishbase:
Holocentridae/Squirrelfishes	Neoniphon	marianus/Longjaw squirrelfish	Fishb
Holocentridae/Squirrelfishes	Sargocentron	bullisi/Deepwater squirrelfish	Fishbase:3622
Acanthuridae/Surgeonfishes	Acanthurus	bahianus/Barber surgeonfish	Fishbase
Acanthuridae/Surgeonfishes	Acanthurus	chirurgus/Doctorfish	Fishbase
Acanthuridae/Surgeonfishes	Acanthurus	coeruleus/Caribbean blue tang	Fishbase:
Acanthuridae/Surgeonfishes	Acanthurus	tractus/Ocean Surgeonfish	Fishbase:
Pempheridae/Sweepers	Pempheris	schomburgkii/Glassy sweeper	Fishbase:
Elopidae/Tenpounders	Elops	saurus/Ladyfish	Fishbase:
Malacanthidae/Tilefishes	Malacanthus	plumieri/Sand tilefish	Fishbase:
Balistidae/Triggerfishes	Balistes	vetula/Queen triggerfish	Fishbase:
Balistidae/Triggerfishes	Canthidermis	sufflamen/Ocean triggerfish	Fishbase:
Balistidae/Triggerfishes	Melichthys	niger/Black durgeon	Fishbase:
Balistidae/Triggerfishes	Xanthichthys	ringens/Sargsassum triggerfish	Fishbase:
Aulostomidae/Trumpetfish	Aulostomus	maculatus/Atlantic Trumpetfish	Fishbase:
Ostraciidae/Trunkfishes	Acanthostracion	polygonius/Honeycomb cowfish	Fishbase:
Ostraciidae/Trunkfishes	Lactophrys	triqueter/Smooth trunkfish	Fishbase:
Labridae/Wrasses	Bodianus	rufus/Spanish hogfish	Fishbase:
Labridae/Wrasses	Clepticus	parrae/Creole wrasse	Fishbase:
Labridae/Wrasses	Halichoeres	bivittatus/Slippery dick	Fishbase:
Labridae/Wrasses	Halichoeres	cyanocephalus/Yellowcheek wrasse	Fishbase:
Labridae/Wrasses	Halichoeres	garnoti/Yellowhead wrasse	Fishbase:
Labridae/Wrasses	Halichoeres	maculipinna/Clown wrasse	Fishbase:
Labridae/Wrasses	Halichoeres	pictus/Rainbow wrasse	Fishbase:
Labridae/Wrasses	Halichoeres	radiatus/Puddingwife	Fishbase:
Labridae/Wrasses	Lachnolaimus	maximus/Hogfish	Fishbase:
Labridae/Wrasses	Thalassoma	bifasciatum/Blueheaded wrasse	Fishbase:
