family	genus	species	CAAB
Pomacentridae/Damselfishes	Pycnochromis	atripes/Dark-fin chromis	Fishbase:4982
Pomacentridae/Damselfishes	Chrysiptera	talboti/Talbot's demoiselle	Fishbase:5700
Pomacentridae/Damselfishes	Chrysiptera	unimaculata/Onespot demoiselle	Fishbase:5702
Pomacentridae/Damselfishes	Dischistodus	perspicillatus/White damsel	Fishbase:5704
Labridae/Wrasses	Cetoscarus	bicolor/Bicolour parrotfish	Fishbase:5538
Labridae/Wrasses	Scarus	prasiognathos/Singapore parrotfish	Fishbase:4971
Labridae/Wrasses	Scarus	quoyi/Quoy's parrotfish	Fishbase:5554
Anthiadidae/Fairy basslets or Streamer basses	Pseudanthias	hypselosoma/Stocky anthias	Fishbase:8124
Tetraodontidae/Puffers	Arothron	nigropunctatus/Blackspotted puffer	Fishbase:6400
Blenniidae/Combtooth blennies	Plagiotremus	laudandus/Bicolour fangblenny	Fishbase:6070
Lutjanidae/Snappers	Lutjanus	semicinctus/Black-banded snapper	Fishbase:179
Monacanthidae/Filefishes	Cantherhines	dumerilii/Whitespotted filefish	Fishbase:5836
Mullidae/Goatfishes	Parupeneus	macronemus/Longbarbel goatfish	Fishbase:7878
Pomacentridae/Damselfishes	Pomacentrus	bankanensis/Speckled damselfish	Fishbase:5717
Epinephelidae/Groupers	Plectropomus	areolatus/Squaretail coralgrouper	Fishbase:6082
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	mata/Elongate surgeonfish	Fishbase:1255
Balistidae/Triggerfishes	Rhinecanthus	aculeatus/White-banded triggerfish	Fishbase:5839
Chaetodontidae/Butterflyfishes	Chaetodon	ornatissimus/Ornate butterflyfish	Fishbase:6550
Chaetodontidae/Butterflyfishes	Heniochus	singularius/Singular bannerfish	Fishbase:5591
null/null	Laticauda	null/colubrina	
Haemulidae/Grunts	Plectorhinchus	lessonii/Lesson's thicklip	Fishbase:50052
Labridae/Wrasses	Anampses	melanurus/White-spotted wrasse	Fishbase:5622
Labridae/Wrasses	Cheilinus	undulatus/Humphead wrasse	Fishbase:5604
Labridae/Wrasses	Halichoeres	podostigma/Axil spot wrasse	Fishbase:4861
Labridae/Wrasses	Halichoeres	richmondi/Richmond's wrasse	Fishbase:5632
Labridae/Wrasses	Novaculichthys	taeniourus/Rockmover wrasse	Fishbase:5610
Labridae/Wrasses	Stethojulis	bandanensis/Red shoulder wrasse	Fishbase:5640
Labridae/Wrasses	Thalassoma	lutescens/Green moon wrasse	Fishbase:5646
Lethrinidae/Emperors or scavengers	Gnathodentex	aureolineatus/Striped large-eye bream	Fishbase:1832
Monacanthidae/Filefishes	Amanses	scopas/Broom filefish	Fishbase:6672
Monacanthidae/Filefishes	Cantherhines	pardalis/Honeycomb filefish	Fishbase:6635
Pomacanthidae/Angelfishes	Centropyge	nox/Midnight angelfish	Fishbase:6647
Pomacentridae/Damselfishes	Amblyglyphidodon	ternatensis/Ternate damsel	Fishbase:5692
Pomacentridae/Damselfishes	Chrysiptera	rollandi/Rolland's demoiselle	Fishbase:5486
Pomacentridae/Damselfishes	Pomacentrus	smithi/Smith's damsel	Fishbase:10279
Pomacentridae/Damselfishes	Stegastes	nigricans/Dusky farmerfish	Fishbase:4352
Microdesmidae/Wormfishes	Nemateleotris	magnifica/Fire goby	Fishbase:6629
Scorpaenidae/Scorpionfishes or rockfishes	Pterois	volitans/Red lionfish	Fishbase:5195
Labridae/Wrasses	Chlorurus	strongylocephalus/Steephead parrotfish	Fishbase:12833
Epinephelidae/Groupers	Epinephelus	tauvina/Greasy grouper	Fishbase:4461
Labridae/Wrasses	Halichoeres	biocellatus/Red-lined wrasse	Fishbase:5627
Pomacentridae/Damselfishes	Amphiprion	ocellaris/Clown anemonefish	Fishbase:6509
Pomacentridae/Damselfishes	Chrysiptera	cyanea/Sapphire devil	Fishbase:5695
Pomacentridae/Damselfishes	Neoglyphidodon	oxyodon/Bluestreak damselfish	Fishbase:11988
Microdesmidae/Wormfishes	Ptereleotris	evides/Blackfin dartfish	Fishbase:4375
Labridae/Wrasses	Bolbometopon	muricatum/Green humphead parrotfish	Fishbase:5537
